method,query_issue,target_issue,target_rank,candidate_count,latency_ms,query_title,target_title,shared_labels,top_issue_numbers
rerank,13868,24923,,0,0.214,Apple Fairplay Streaming support.,[video_player] Support DRM content,a: video|c: new feature|p: video_player|package|team-ecosystem|triaged-ecosystem,
rerank,67528,45332,1,10,336.929,Image picker video/image optional,ImagePicker: ImageSource should support both Camera+Gallery,p: image_picker|package,45332|48670|66413|13868|53229|51875|24923|46460|62496|61340
rerank,75423,75076,1,10,307.617,[web] Pressing any key causes Uncaught Errors in platform_dispatcher.dart,[Web]TextformField shows error when trying to type with keyboard,,75076|54213|65021|66224|59770|73355|59757|73743|60495|68958
rerank,75617,32719,8,10,283.06,[question]Calling C ++ via the plugin introduces a compilation error caused by the VCPKG package in CMake,Add dependency management support for Windows plugins,,66224|61997|65021|59770|70216|66833|59312|32719|62597|53120
rerank,76580,68436,1,10,258.492,"cupertino_icons, square_pencil issue","Cupertino icon ""square_pencil"" is filled",r: duplicate,68436|14288|53229|31373|14720|30701|75613|66224|59770|61340
rerank,76768,66833,4,10,27896.296,Using more v2 embedded plugins from plugin example application will make the plugin fail to run properly,MissingPluginException(No implementation found for method getAll on channel plugins.flutter.io/shared_preferences),r: duplicate,65021|75617|76705|66833|66224|54213|59770|59757|33615|60495
rerank,76777,76705,7,10,985.081,win32-1.7.4+1/lib/src/structs.dart:1111:7: Error: Struct 'ENUMLOGFONTEX' is empty. Empty,Android build failure on master channel,,54213|66224|65021|68958|70216|59770|76705|53120|76768|59312
rerank,78009,75613,3,10,480.236,Horizontal scrollbar becomes invalid and does not disappear after increasing the width of the screen.,The Scrollbar() Widget in Flutter Web is not working as expected,,61340|77043|75613|73355|62496|60495|40648|66413|31373|14288
rerank,78244,48670,1,10,308.402,hls url doesnt play the video in iOS with video_player ,Flutter video_player unable to play HLS live video on iOS device,,48670|24923|66413|46460|61340|13868|51875|67528|22771|62496
rerank,78342,78099,1,10,362.273,[tool_crash] RPCError,[tool_crash] RPCError,,78099|59757|59770|54213|76705|77581|60495|70216|76777|59312
rerank,79277,77043,1,10,288.846,Carried velocity is incorrectly applied on iOS,ListView ScrollPhysics different from native scroll physics when pausing in between scrolls,f: scrolling|framework|platform-ios,77043|66413|61340|48670|14720|51875|78009|77581|75613|81777
rerank,79554,37987,3,10,906.431,Launch devtools faster/earlier to make it easier to profile app startup ,Enable hot restart on profile mode,,76768|78099|37987|76705|77581|78342|59757|59312|54213|60495
rerank,79634,66413,2,10,566.509,VideoController.size not correct on iPhone SE (2nd generation),[video_player] Aspect Ratio sometimes incorrect in iOS,,38437|66413|76768|48670|75613|61340|14720|24923|78244|46460
rerank,80330,14288,5,10,320.767,Flutter showing odd borders that don't actually exist.,Antialiasing behaviour when same-colour ,,79634|61340|75613|53229|14288|31373|14720|68436|78009|76580
rerank,80402,79949,1,10,1690.445,Dart snapshot generator failed with exit code -1073741819,Building project fails on generating snapshot with segmentation fault after upgrading to 2.0.1,,79949|76705|65021|54213|77581|78099|59757|59770|78342|60495
rerank,80750,77084,1,10,340.419,[web] zooming and resizing does not redraw Scaffold properly,[web] flutter website doesn't resize  properly when zoomed in/out and resizing window on desktop ,,77084|78009|77043|62496|75613|51875|67528|46460|79634|66413
rerank,80933,80418,1,10,331.9,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\opt\flutter_windows_2.0.5-stable\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|54213|66224|59770|68958|70216|77581|59312|78099|78342
rerank,80961,81029,,10,531.375,Keyboard doesn't popup when focusing on Android Platform view that includes text fields,[Android] Native EditText does not work for all input types when used with AndroidViewSurface,P0|a: platform-views|a: text input|customer: product|engine|found in release: 2.0|found in release: 2.1|found in release: 2.2|has reproducible steps|platform-android,62496|61340|40648|75076|78342|76768|75613|75423|14720|30701
rerank,81196,82520,,10,1460.881,Flutter build hangs on: Observatory listening on ,Stuck on observatory when running on VIvo devices,tool,76777|78342|70216|76705|80933|77581|79748|80418|78099|59312
rerank,81287,80418,1,10,333.282,"[tool_crash] ProcessException: The directory name is invalid. Command: C:\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267","[tool_crash] ProcessException: The directory name is invalid. Command: C:\src\flutter\bin\cache\dart-sdk\bin\pub.bat, OS error code: 267",,80418|80933|54213|66224|59770|78342|77581|59757|59312|78099
rerank,81762,81777,1,10,260.438,Jump to internal section anchor,[flutter_markdown] Relative anchors,p: flutter_markdown|package,81777|30701|14720|31373|37987|46789|48670|46460|13868|38437
rerank,82354,82345,9,10,375.49,Android Studio (not installed),Flutter Doctor cannot find Android Studio 4.2,,80933|78342|70216|76705|80418|78099|81287|59770|82345|81196
rerank,83331,83232,8,10,302.302,X Unable to locate Android SDK., Unable to locate Android SDK,,81196|80933|70216|82345|82354|80418|78342|83232|59770|59312
